Measure|Limit|MeasureGroup
2,3,3',4',5',6-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,3,3',4',5'-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,3,3',4',5,5'-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,3,3',4',6-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,3,3',4'-Tetrachlorobiphenyl|.0005 mg/L|PCBs
2,3,3',4,4',5',6-Heptachlorobiphenyl|.0005 mg/L|PCBs
2,3,3',4,4',5'-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,3,3',4,4',5,5',6-Octachlorobiphenyl|.0005 mg/L|PCBs
2,3,3',4,4',5,5'-Heptachlorobiphenyl|.0005 mg/L|PCBs
2,3,3',4,4',5,6-Heptachlorobiphenyl|.0005 mg/L|PCBs
2,3,3',4,4',5-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,3,3',4,4',6-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,3,3',4,4'-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,3,3',4,5',6-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,3,3',4,5,5',6-Heptachlorobiphenyl|.0005 mg/L|PCBs
2,3,3',4,5,5'-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,3,3',4,5-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,3,3',4,6-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,3,3',4-Tetrachlorobiphenyl|.0005 mg/L|PCBs
2,3,3',5,5',6-Hexachlorobiphenyl|.0005 mg/L|PCBs
2,3,3',5,5'-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,3,3',5,6-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,3,3',5-Tetrachlorobiphenyl|.0005 mg/L|PCBs
2,3,4',5-Tetrachlorobiphenyl|.0005 mg/L|PCBs
2,3,4',6-Tetrachlorobiphenyl|.0005 mg/L|PCBs
2,3,4'-Trichlorobiphenyl|.0005 mg/L|PCBs
2,3,4,4',5-Pentachlorobiphenyl|.0005 mg/L|PCBs
2,3,4,4'-Tetrachlorobiphenyl|.0005 mg/L|PCBs
2,3,5,6-Tetrachlorobiphenyl|.0005 mg/L|PCBs
2,3,5-Trichlorobiphenyl|.0005 mg/L|PCBs
2,3,6-Trichlorobiphenyl|.0005 mg/L|PCBs
2,3,6-Trichlorophenol|.0005 mg/L|PCBs
2,3,7,8-Tetrachlorodibenzo-p-dioxin|0.00000003 mg/L|dioxin
